name,capital,region,area,population,pop_density,urban_population,pop_growth,urban_population_growth,gdp,gdp_per_capita,gdp_growth,average_life_expectancy,life_expectancy_male,life_expectancy_female,unemployment,internet_users
Afghanistan,Kabul,Asia,652230.0,38928.0,59.6,25.8,2.5,4.0,20514.0,551.9,-1.7,64.3,62.8,65.8,11.2,13.5
Albania,Tirana,Europe,28748.0,2878.0,105.0,61.2,-0.1,1.8,15059.0,5223.8,4.1,78.4,76.7,80.1,12.8,71.8
Algeria,Algiers,Africa,2381741.0,43851.0,18.4,73.2,2.0,2.9,173757.0,4114.7,1.4,76.6,75.4,77.8,11.5,49.0
American Samoa,Pago Pago,Oceania,199.0,56.0,279.0,87.1,0.1,-0.1,,,,74.4,71.1,77.8,9.2,
Andorra,Andorra la Vella,Europe,468.0,77.0,164.2,88.0,-0.2,-1.7,3238.0,42051.6,1.6,,,,,91.6
Angola,Luanda,Africa,1246700.0,32866.0,26.4,66.2,3.3,4.7,105902.0,3437.3,-1.2,60.6,57.8,63.4,6.8,14.3
Anguilla,The Valley,Americas,91.0,15.0,169.8,100.0,0.9,1.2,293.0,19890.7,-5.0,,,,,81.6
Antigua and Barbuda,Saint John's,Americas,442.0,98.0,222.6,24.5,0.9,0.1,1611.0,16727.0,7.4,76.8,75.7,77.9,,76.0
Argentina,Buenos Aires,Americas,2780400.0,45196.0,16.5,92.0,1.0,1.2,518475.0,11687.6,-2.5,76.5,73.0,79.8,10.4,74.3
Armenia,Yerevan,Asia,29743.0,2963.0,104.1,63.2,0.3,0.2,12433.0,4212.1,5.2,74.9,71.1,78.3,16.6,64.7
Aruba,Oranjestad,Americas,180.0,107.0,593.1,43.5,0.5,0.5,3203.0,30262.5,0.9,76.1,73.6,78.4,10.6,97.2
Australia,Canberra,Oceania,7692024.0,25500.0,3.3,86.1,1.3,1.6,1453871.0,58392.7,2.0,83.2,81.2,85.2,5.3,86.5
Austria,Vienna,Europe,83871.0,9006.0,109.3,58.5,0.7,0.7,455508.0,51230.3,2.4,81.4,78.9,83.8,4.8,87.5
Azerbaijan,Baku,Asia,86600.0,10139.0,122.7,56.0,1.0,1.7,46939.0,4717.7,1.4,72.8,70.3,75.3,6.0,79.8
Bahamas,Nassau,Americas,13943.0,393.0,39.3,83.1,1.0,1.5,12424.0,32218.1,1.6,73.8,71.5,75.9,11.3,85.0
Bahrain,Manama,Asia,765.0,1702.0,2238.9,89.4,4.3,2.1,37876.0,24133.5,2.5,76.9,76.2,78.2,0.8,98.6
Bangladesh,Dhaka,Asia,147570.0,164689.0,1265.2,37.4,1.1,3.5,269628.0,1670.8,7.9,72.3,70.5,74.1,4.2,15.0
Barbados,Bridgetown,Americas,430.0,287.0,668.3,31.2,0.1,-0.1,5087.0,17745.9,-0.4,79.0,77.6,80.4,10.9,81.8
Belarus,Minsk,Europe,207600.0,9449.0,46.6,79.0,0.0,0.7,59662.0,6311.7,3.0,74.6,69.3,79.3,4.6,79.1
Belgium,Brussels,Europe,30528.0,11590.0,382.7,98.0,0.5,0.7,543026.0,47293.0,1.5,81.4,79.0,83.7,5.7,88.7
Belize,Belmopan,Americas,22966.0,398.0,17.4,45.9,1.9,2.3,1871.0,4884.7,2.1,74.5,71.4,77.6,6.4,47.1
Benin,Porto-Novo,Africa,112622.0,12123.0,107.5,47.9,2.7,4.0,10412.0,906.5,6.5,61.3,59.8,62.8,2.0,20.0
Bermuda,Hamilton,Americas,54.0,61.0,1212.8,100.0,-0.4,-0.6,6351.0,101207.9,-0.4,81.5,77.5,85.1,6.7,98.4
Bhutan,Thimphu,Asia,38394.0,772.0,20.2,41.6,1.2,3.7,2658.0,3523.8,5.8,71.3,71.0,71.6,2.4,48.1
Bolivia,Sucre,Americas,1098581.0,11673.0,10.8,69.8,1.4,2.1,40288.0,3548.6,4.2,71.1,68.3,74.0,3.4,44.3
Bosnia and Herzegovina,Sarajevo,Europe,51209.0,3281.0,64.3,48.6,-0.9,-0.3,19782.0,5951.4,2.6,77.2,74.6,79.6,18.4,70.1
Botswana,Gaborone,Africa,582000.0,2352.0,4.1,70.2,2.1,3.3,18615.0,8258.2,4.5,69.0,66.0,71.9,18.7,47.0
Brazil,Brasília,Americas,8515767.0,212559.0,25.4,86.8,0.8,1.2,1868613.0,8920.7,1.1,75.7,71.9,79.3,12.0,70.4
British Virgin Islands,Road Town,Americas,151.0,33.0,217.6,48.1,1.6,2.8,1446.0,48511.3,3.1,,,,,77.7
Brunei,Bandar Seri Begawan,Asia,5765.0,438.0,83.0,77.9,1.1,1.9,13567.0,31627.2,0.1,75.7,74.5,76.9,9.0,94.9
Bulgaria,Sofia,Europe,110879.0,6948.0,64.0,75.3,-0.7,-0.2,66199.0,9387.8,3.1,75.0,71.3,78.5,3.8,64.8
Burkina Faso,Ouagadougou,Africa,272967.0,20903.0,76.4,30.0,2.9,5.2,16200.0,820.2,6.8,60.9,60.1,61.6,6.4,16.0
Burundi,Gitega,Africa,27834.0,11891.0,463.0,13.4,3.1,5.6,3285.0,294.0,0.1,61.0,59.2,62.8,1.4,2.7
Cambodia,Phnom Penh,Asia,181035.0,16719.0,94.7,23.8,1.5,3.4,24572.0,1512.1,7.5,69.4,67.2,71.5,0.7,40.0
Cameroon,Yaoundé,Africa,475442.0,26546.0,56.2,57.0,2.6,3.8,38694.0,1534.5,4.1,58.7,57.5,60.0,3.4,23.2
Canada,Ottawa,Americas,9984670.0,37742.0,4.2,81.5,0.9,1.1,1712562.0,46192.4,1.9,82.2,80.2,84.2,5.4,91.0
Cayman Islands,George Town,Americas,264.0,64.0,266.2,100.0,1.3,1.5,5485.0,85474.2,3.3,80.0,76.3,83.8,6.3,81.1
Central African Republic,Bangui,Africa,622984.0,4830.0,7.8,41.8,1.4,1.1,2243.0,480.7,4.3,52.7,50.5,54.9,3.7,4.3
Chad,N'Djamena,Africa,1284000.0,16426.0,13.0,23.3,3.0,3.8,11387.0,735.7,2.4,53.8,52.4,55.2,1.9,6.5
Chile,Santiago,Americas,756102.0,19116.0,25.7,87.6,1.2,1.0,298231.0,15923.4,4.0,79.9,77.4,82.3,7.1,82.3
China,Beijing,Asia,9706961.0,1439324.0,153.3,60.3,0.5,2.9,13608152.0,9531.9,6.6,76.7,74.5,79.0,4.4,54.3
Colombia,Bogotá,Americas,1141748.0,50883.0,45.9,81.1,1.4,1.4,330228.0,6649.6,2.7,77.0,74.2,79.8,9.7,64.1
Comoros,Moroni,Africa,1862.0,870.0,467.3,29.2,2.2,2.7,1166.0,1400.5,3.0,64.0,62.3,65.8,4.4,8.5
Cook Islands,Avarua,Oceania,236.0,18.0,73.0,75.3,0.1,-0.9,363.0,20705.2,5.7,75.7,71.7,79.6,8.2,
Costa Rica,San José,Americas,51100.0,5094.0,99.8,80.1,1.0,2.5,60126.0,12026.5,2.7,80.1,77.4,82.7,12.7,74.1
Croatia,Zagreb,Europe,56594.0,4105.0,73.4,57.2,-0.6,-0.1,60991.0,14674.0,2.7,78.3,75.0,81.4,7.1,75.3
Cuba,Havana,Americas,109884.0,11327.0,106.4,77.1,0.0,0.3,100023.0,8821.8,2.2,78.7,76.7,80.7,1.6,57.1
Curaçao,Willemstad,Americas,444.0,17135.0,508.2,91.9,0.2,1.0,914105.0,53583.1,2.6,82.1,80.3,83.8,3.0,94.7
Cyprus,Nicosia,Europe,9251.0,1207.0,130.7,66.8,0.8,0.7,24963.0,28967.6,4.1,80.7,78.6,82.8,7.2,84.4
Czechia,Prague,Europe,78865.0,10709.0,138.6,73.9,0.2,0.2,245226.0,22992.1,3.0,79.2,76.5,81.8,1.9,80.7
Denmark,Copenhagen,Europe,43094.0,5792.0,136.5,88.0,0.4,0.6,355675.0,61833.7,2.4,80.7,78.7,82.7,4.8,97.3
Djibouti,Djibouti,Africa,23200.0,988.0,42.6,77.9,1.6,1.8,2923.0,3048.6,5.6,66.5,64.6,68.7,10.3,55.7
Dominica,Roseau,Americas,751.0,75.0,100.1,70.8,0.5,0.9,551.0,7691.3,2.3,76.0,73.8,78.2,,69.6
Dominican Republic,Santo Domingo,Americas,48671.0,10848.0,224.5,81.8,1.1,2.5,81299.0,7650.1,7.0,73.9,70.7,77.1,5.9,74.8
Ecuador,Quito,Americas,276841.0,17643.0,71.0,64.0,1.7,1.8,108398.0,6344.9,1.4,76.8,74.0,79.6,4.2,57.3
Egypt,Cairo,Africa,1002450.0,102334.0,102.8,42.7,2.0,2.1,249751.0,2537.5,5.3,71.8,69.5,74.1,10.1,46.9
El Salvador,San Salvador,Americas,21041.0,6486.0,313.0,72.7,0.5,1.7,26057.0,4058.2,2.5,73.1,68.1,77.5,4.2,33.8
Equatorial Guinea,Malabo,Africa,28051.0,1403.0,50.0,72.6,3.7,5.6,13324.0,10179.2,-4.7,58.2,57.3,59.4,6.5,26.2
Eritrea,Asmara,Africa,117600.0,3546.0,35.1,40.7,1.2,3.6,6855.0,1985.4,4.2,65.8,63.6,68.0,5.2,1.3
Estonia,Tallinn,Europe,45227.0,1326.0,31.3,69.1,0.2,-0.2,30747.0,23241.9,4.8,78.5,74.0,82.5,5.4,89.4
Eswatini,Mbabane,Africa,17364.0,1160.0,67.5,24.0,1.0,2.6,4711.0,4145.7,2.4,59.6,55.2,63.9,22.0,47.0
Ethiopia,Addis Ababa,Africa,1104300.0,114964.0,115.0,21.2,2.6,4.9,80292.0,735.1,6.8,66.0,64.1,67.9,2.1,18.6
Falkland Islands,Stanley,Americas,12173.0,3.0,0.2,78.1,0.2,1.0,,,,,,,1.2,99.0
Faroe Islands,Tórshavn,Europe,1393.0,50.0,35.7,42.2,0.4,0.5,,,,81.3,78.3,84.5,4.0,97.6
Fiji,Suva,Oceania,18272.0,896.0,49.1,56.8,0.6,1.7,5537.0,6267.0,3.5,67.3,65.6,69.1,4.1,50.0
Finland,Helsinki,Europe,338424.0,5541.0,18.2,85.4,0.2,0.8,276878.0,50135.7,1.7,81.7,78.8,84.5,6.7,88.9
France,Paris,Europe,551695.0,65274.0,119.2,80.7,0.3,0.8,2778892.0,41358.1,1.7,82.5,79.4,85.4,8.3,82.0
French Guiana,Cayenne,Americas,83534.0,299.0,3.6,85.6,2.7,3.1,,,,79.9,76.7,83.0,21.3,
French Polynesia,Papeetē,Oceania,4167.0,281.0,76.8,61.9,0.6,1.2,6100.0,21967.5,2.5,77.4,75.3,79.6,11.9,72.7
Gabon,Libreville,Africa,267668.0,2226.0,8.6,89.7,2.7,3.9,16994.0,8018.8,1.2,66.1,64.0,68.2,20.2,62.0
Gambia,Banjul,Africa,10689.0,2417.0,238.8,61.9,2.9,4.4,1633.0,716.1,6.5,61.6,60.2,63.0,9.1,19.8
Georgia,Tbilisi,Asia,69700.0,3989.0,57.4,59.0,-0.2,-0.7,17600.0,4396.7,4.8,73.7,69.1,77.9,14.7,62.7
Germany,Berlin,Europe,357114.0,83784.0,240.4,77.4,0.5,0.3,3949549.0,47513.7,1.5,81.2,78.7,83.6,3.0,89.7
Ghana,Accra,Africa,238533.0,31073.0,136.6,56.7,2.2,3.6,65535.0,2201.6,6.3,63.6,62.6,64.7,4.5,39.0
Gibraltar,Gibraltar,Europe,6.0,35.0,3500.0,100.0,0.4,0.6,,,,,,,,94.4
Greece,Athens,Europe,131990.0,10423.0,80.9,79.4,-0.4,0.1,218139.0,20731.2,1.9,82.0,79.5,84.5,15.5,73.0
Greenland,Nuuk,Americas,2166086.0,57.0,0.1,87.1,0.1,0.3,3052.0,53949.8,3.2,71.2,69.1,73.6,9.7,69.5
Grenada,St. George's,Americas,344.0,112.0,331.0,36.4,0.5,0.5,1169.0,10485.9,4.1,72.5,70.1,75.0,,59.1
Guadeloupe,Basse-Terre,Americas,1628.0,65274.0,119.2,80.7,0.3,0.8,2778892.0,41358.1,1.7,82.5,79.4,85.4,8.3,82.0
Guam,Hagåtña,Oceania,549.0,169.0,312.5,94.9,0.8,0.4,,,,79.9,76.5,83.3,5.7,80.5
Guatemala,Guatemala City,Americas,108889.0,17916.0,167.2,51.4,1.9,2.7,78461.0,4549.0,3.1,73.9,71.0,76.8,2.5,65.0
Guinea,Conakry,Africa,245857.0,13133.0,53.4,36.5,2.8,3.1,11640.0,937.6,5.8,60.9,60.3,61.5,4.3,18.0
Guinea-Bissau,Bissau,Africa,36125.0,1968.0,70.0,43.8,2.5,3.6,1459.0,778.4,3.8,57.8,55.8,59.7,2.5,3.9
Guyana,Georgetown,Americas,214969.0,787.0,4.0,26.7,0.5,0.4,3818.0,4900.8,3.4,69.8,66.7,72.9,11.8,37.3
Haiti,Port-au-Prince,Americas,27750.0,11402.0,413.7,56.2,1.3,3.3,9287.0,834.9,1.5,63.6,61.4,65.7,13.9,32.5
Honduras,Tegucigalpa,Americas,112492.0,9905.0,88.5,57.7,1.7,3.0,23970.0,2500.1,3.7,75.0,72.7,77.3,5.2,31.7
Hong Kong,City of Victoria,Asia,1104.0,7497.0,7140.0,100.0,0.8,0.6,362682.0,49199.0,3.0,84.9,81.8,87.5,4.3,90.5
Hungary,Budapest,Europe,93028.0,9660.0,106.7,71.6,-0.2,0.2,157883.0,16264.0,5.1,76.7,73.0,80.1,3.5,76.1
Iceland,Reykjavik,Europe,103000.0,341.0,3.4,93.9,0.7,0.6,25882.0,76867.3,4.6,82.7,81.2,84.3,3.2,99.0
India,New Delhi,Asia,3287590.0,1380004.0,464.1,34.5,1.0,2.4,2779352.0,2054.8,6.8,69.3,68.1,70.5,5.4,34.4
Indonesia,Jakarta,Asia,1904569.0,273524.0,151.0,56.0,1.1,2.6,1042173.0,3893.5,5.2,71.4,69.3,73.6,4.8,39.9
Iran,Tehran,Asia,1648195.0,83993.0,51.6,75.4,1.4,2.0,473091.0,5783.5,-4.8,76.4,75.3,77.6,11.2,70.0
Iraq,Baghdad,Asia,438317.0,40222.0,92.6,70.7,2.5,3.4,212272.0,5523.1,-1.0,70.3,68.3,72.4,12.8,75.0
Ireland,Dublin,Europe,70273.0,4938.0,71.7,63.4,1.2,0.6,382674.0,79414.6,8.2,82.1,80.4,83.7,5.2,84.5
Isle of Man,Douglas,Europe,572.0,86.0,150.7,52.7,0.6,0.9,,,,,,,2.6,
Israel,Jerusalem,Asia,20770.0,8656.0,400.0,92.5,1.6,1.7,370588.0,44214.9,3.4,82.7,81.0,84.3,3.8,83.7
Italy,Rome,Europe,301336.0,60462.0,205.6,70.7,0.0,0.3,2084882.0,34388.5,0.8,83.3,81.0,85.4,9.8,74.4
Jamaica,Kingston,Americas,10991.0,2961.0,273.4,56.0,0.5,0.8,15714.0,5354.3,1.9,74.4,72.8,75.9,8.0,55.1
Japan,Tokyo,Asia,377930.0,126476.0,346.9,91.7,-0.2,0.0,4971323.0,39082.1,0.8,84.5,81.3,87.5,2.3,91.3
Jordan,Amman,Asia,89342.0,10203.0,114.9,91.2,1.9,5.8,42231.0,4237.8,1.9,74.4,72.7,76.1,14.6,66.8
Kazakhstan,Nur-Sultan,Asia,2724900.0,18777.0,7.0,57.5,1.3,1.7,179340.0,9789.5,4.1,73.2,68.8,77.4,4.6,78.9
Kenya,Nairobi,Africa,580367.0,53771.0,94.5,27.5,2.3,4.4,87906.0,1710.5,6.3,66.2,63.8,68.5,2.6,17.8
Kiribati,South Tarawa,Oceania,811.0,119.0,147.5,54.8,1.5,3.5,189.0,1627.4,2.3,68.0,63.9,72.0,30.6,14.6
Kosovo,Pristina,Europe,10908.0,8737.0,99.9,56.3,-0.3,-0.1,50597.0,7208.8,4.4,75.9,73.2,78.4,12.7,73.4
Kuwait,Kuwait City,Asia,17818.0,4271.0,239.7,100.0,2.1,5.4,141698.0,34248.8,1.2,75.3,74.6,76.4,2.3,99.6
Kyrgyzstan,Bishkek,Asia,199951.0,6524.0,34.0,36.6,1.8,1.8,8093.0,1283.8,3.5,71.3,67.2,75.4,6.6,38.0
Laos,Vientiane,Asia,236800.0,7276.0,31.5,35.6,1.5,3.2,17954.0,2542.5,6.2,67.4,65.7,69.2,0.6,25.5
Latvia,Riga,Europe,64559.0,1886.0,30.3,68.2,-1.1,-1.2,34426.0,17851.6,4.6,75.2,69.9,79.8,6.5,83.6
Lebanon,Beirut,Asia,10452.0,6825.0,667.2,88.8,0.9,6.2,56409.0,8223.7,0.2,78.9,77.0,80.8,6.3,78.2
Lesotho,Maseru,Africa,30355.0,2142.0,70.6,28.6,0.8,2.9,2631.0,1248.0,1.2,53.6,50.4,56.8,22.8,29.0
Liberia,Monrovia,Africa,111369.0,5058.0,52.5,51.6,2.5,3.4,2122.0,440.3,1.2,63.6,62.2,65.0,2.7,8.0
Libya,Tripoli,Africa,1759540.0,6871.0,3.9,80.4,1.4,0.5,34377.0,5147.3,17.9,72.8,69.9,75.7,18.6,21.8
